epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,772.369,1.62763,3.19856,1.41642,0.00475,0.73837,0.3002,0.17769,1.29813,3.52511,1.07341,0.00045009,0.00045009,0.00045009
2,1553.9,1.50506,2.27917,1.30279,0.90837,0.01531,0.28313,0.15276,1.3848,3.46634,1.30347,0.000871466,0.000871466,0.000871466
3,1841.27,1.50344,2.08645,1.33731,0.74424,0.35677,0.48519,0.26721,1.47836,2.96441,1.42257,0.00124663,0.00124663,0.00124663
4,2071.65,1.54904,1.91916,1.34081,0.55703,0.56434,0.56609,0.30786,1.49179,2.31495,1.43096,0.00141945,0.00141945,0.00141945
5,2297.18,1.41676,1.70725,1.27448,0.64037,0.57017,0.58283,0.31795,1.47377,2.1295,1.37734,0.00133693,0.00133693,0.00133693
6,2522.72,1.42881,1.63069,1.28208,0.53081,0.61143,0.56024,0.31826,1.46657,1.94224,1.36015,0.00125442,0.00125442,0.00125442
7,2744.81,1.40984,1.61005,1.31252,0.6138,0.65238,0.64024,0.33633,1.54801,1.84267,1.41905,0.0011719,0.0011719,0.0011719
8,2970.33,1.42497,1.53556,1.28709,0.65207,0.71769,0.67816,0.3436,1.55262,1.66249,1.44929,0.00108938,0.00108938,0.00108938
9,3189.31,1.4553,1.46986,1.29313,0.66992,0.68059,0.68044,0.37154,1.48277,1.5877,1.34352,0.00100687,0.00100687,0.00100687
10,3420.35,1.38463,1.35156,1.23521,0.64716,0.68029,0.70362,0.39797,1.44585,1.64576,1.29388,0.000924352,0.000924352,0.000924352
11,3651.75,1.35438,1.38506,1.2682,0.65652,0.7683,0.71385,0.41891,1.39579,1.48398,1.30283,0.000841835,0.000841835,0.000841835
12,3871.67,1.32644,1.2859,1.25132,0.68716,0.78571,0.73602,0.42117,1.43623,1.30917,1.31086,0.000759318,0.000759318,0.000759318
13,4062.24,1.29448,1.21823,1.23722,0.74821,0.65184,0.72593,0.39519,1.45725,1.28409,1.34339,0.000676802,0.000676802,0.000676802
14,4260.18,1.28503,1.15151,1.22319,0.68026,0.76585,0.72361,0.38342,1.46238,1.38675,1.35567,0.000594286,0.000594286,0.000594286
15,4448.47,1.28505,1.11526,1.21937,0.72419,0.71565,0.72681,0.3923,1.45423,1.24003,1.34125,0.000511769,0.000511769,0.000511769
16,4658.11,1.24146,1.05662,1.20883,0.68348,0.77128,0.77688,0.44875,1.39993,1.19276,1.28345,0.000429253,0.000429253,0.000429253
17,4870.1,1.24092,1.00474,1.19326,0.75984,0.73129,0.78334,0.44483,1.40163,1.16778,1.28815,0.000346736,0.000346736,0.000346736
18,5074.45,1.22279,0.99377,1.17342,0.72259,0.79522,0.79172,0.44407,1.43186,1.13059,1.30596,0.00026422,0.00026422,0.00026422
19,5276.25,1.17861,0.92607,1.16303,0.76638,0.75426,0.79483,0.47091,1.37256,1.11328,1.26731,0.000181703,0.000181703,0.000181703
20,5493.36,1.18751,0.91252,1.15786,0.73728,0.79527,0.803,0.46075,1.40055,1.11501,1.28187,9.91865e-05,9.91865e-05,9.91865e-05
